sim_name,hits,sim_expected_average,sim_pps,sim_expected_dps,sim_expected_dps_std,sim_potency_total,sim_expected_total,sim_std_total
all,1027,32763.967,333.88,44846.853,396.697,250510,33648594,297642
Auto,315,9509.14,37.785,3992.242,60.039,28350,2995379,45047
Tendo Kaeshi Setsugekka,15,192213.267,21.991,3842.728,111.814,16500,2883199,83894
Tendo Setsugekka,15,190818.2,21.991,3814.838,110.442,16500,2862273,82865
Kaeshi: Setsugekka,22,112303.682,19.939,3292.924,77.844,14960,2470681,58406
Gekko,49,50257.347,27.429,3282.167,125.358,20580,2462610,94056
Midare Setsugekka,22,108629.364,19.939,3185.187,74.213,14960,2389846,55682
Hissatsu: Shinten,78,29975.128,25.99,3116.167,94.28,19500,2338060,70738
Gyofu,82,27883.963,26.23,3047.428,89.514,19680,2286485,67162
Kasha,38,49797.342,21.271,2522.057,109.054,15960,1892299,81823
Yukikaze,38,39918.684,17.22,2021.738,87.404,12920,1516910,65579
Higanbana (dot),240,6222.667,15.994,1990.457,34.458,12000,1493440,25854
Shoha,18,80600.389,15.354,1933.636,122.587,11520,1450807,91977
Hissatsu: Senei,13,99429.154,13.861,1722.75,128.262,10400,1292579,96235
Kaeshi: Namikiri,7,183138.571,9.33,1708.61,74.544,7000,1281970,55930
Ogi Namikiri,7,183138.571,9.33,1708.61,74.544,7000,1281970,55930
Zanshin,7,123990.571,8.77,1156.783,118.074,6580,867934,88591
Jinpu,23,34569.304,9.196,1059.701,58.689,6900,795094,44034
Shifu,21,34583.095,8.397,967.939,56.059,6300,726245,42061
Higanbana,12,24607.417,3.199,393.561,30.47,2400,295289,22862
Hissatsu: Gyoten,5,13104.8,0.666,87.33,10.502,500,65524,7880
