sim_name,hits,sim_expected_average,sim_pps,sim_expected_dps,sim_expected_dps_std,sim_potency_total,sim_expected_total,sim_std_total
all,591,35415.892,246.221,27752.31,221.086,185700,20930792,166743
Fell Cleave,71,74130.338,54.601,6978.592,103.311,41180,5263254,77917
Inner Chaos,22,112565.182,20.419,3283.524,20.228,15400,2476434,15256
Auto,225,9073.662,26.85,2706.94,46.554,20250,2041574,35111
Maim,61,30361.492,27.499,2455.65,81.087,20740,1852051,61156
Storm's Path,40,44689.5,26.518,2370.167,96.637,20000,1787580,72884
Primal Ruination,13,127108.077,13.789,2190.937,17.558,10400,1652405,13242
Primal Rend,13,114388.077,12.411,1971.685,15.802,9360,1487045,11918
Heavy Swing,61,21417.0,19.411,1732.216,57.201,14640,1306437,43141
Storm's Eye,21,44518.476,13.922,1239.576,69.767,10500,934888,52618
Upheaval,24,38076.083,13.365,1211.649,63.809,10080,913826,48125
Primal Wrath,13,64482.692,12.066,1111.476,79.554,9100,838275,60000
Onslaught,27,13963.815,5.37,499.898,24.834,4050,377023,18730
